Date,Open,High,Low,Close,Volume
30/11/2021 02:00,4463.25,4500.51,4462.21,4473.64,605.6478888
30/11/2021 03:00,4470.71,4476.08,4401.39,4437.67,687.5332982
30/11/2021 04:00,4439.69,4460.03,4433.73,4445.2,255.4154234
30/11/2021 05:00,4450.49,4456.74,4389.31,4391.8,482.6503103
30/11/2021 06:00,4388.88,4420.49,4350,4416.33,1012.209158
30/11/2021 07:00,4411,4432.43,4378,4413.79,604.0478411
30/11/2021 08:00,4418.48,4478.45,4394.22,4425.57,729.4771305
30/11/2021 09:00,4421.73,4451.69,4403.55,4440,753.5437599
30/11/2021 10:00,4438.7,4501.7,4430.57,4490.59,1264.627341
30/11/2021 11:00,4492.44,4606.54,4465.52,4595.8,2087.87401
30/11/2021 12:00,4597.53,4644,4585.93,4587.78,1908.816444
30/11/2021 13:00,4591.32,4662.22,4574.41,4656.33,1545.996265
30/11/2021 14:00,4656.33,4700,4646.54,4698.97,2480.966284
30/11/2021 15:00,4699.46,4757.8,4619.2,4619.2,2794.960704
30/11/2021 16:00,4622.74,4674.95,4550,4556,6127.720427
30/11/2021 17:00,4556,4618,4523.72,4600.61,17050.16914
30/11/2021 18:00,4602.22,4701.65,4587.87,4697.24,6104.755874
30/11/2021 19:00,4698.52,4698.52,4633.85,4669.13,1756.245595
30/11/2021 20:00,4672.93,4679.54,4624.12,4652.42,701.5168676
30/11/2021 21:00,4654.59,4679.24,4603.37,4630.28,524.160577
30/11/2021 22:00,4625.41,4674.81,4624.4,4661.51,369.7895521
30/11/2021 23:00,4664.26,4672.37,4627.76,4630.88,466.0915681
01/12/2021 00:00,4625.07,4737.65,4605.88,4729.66,5716.67628
01/12/2021 01:00,4725,4725.94,4685.2,4703.45,662.0679675
01/12/2021 02:00,4701.26,4755.23,4673.2,4752.06,544.559591
01/12/2021 03:00,4752.26,4775.75,4723.77,4763.37,4457.705094
01/12/2021 04:00,4762.64,4766.24,4721.02,4739.51,366.832982
01/12/2021 05:00,4738.75,4742.98,4701.93,4708.42,1547.261157
01/12/2021 06:00,4708.61,4751.93,4690.68,4732.64,1129.826131
01/12/2021 07:00,4732.24,4784,4721.34,4770.52,2242.865282
01/12/2021 08:00,4773.32,4775.84,4695.76,4711.05,3537.339104
01/12/2021 09:00,4711.58,4752.28,4682.71,4747.59,1659.602684
01/12/2021 10:00,4743.49,4754.33,4705.32,4729.7,645.3659364
01/12/2021 11:00,4728.04,4732.88,4656.17,4677.98,1233.162179
01/12/2021 12:00,4683.41,4725,4661.99,4667.77,772.6831713
01/12/2021 13:00,4669.29,4721.58,4669.29,4680.94,215.997621
01/12/2021 14:00,4683.26,4765.01,4681.78,4748.76,627.859292
01/12/2021 15:00,4749.54,4766.48,4719.46,4732.05,453.8126916
01/12/2021 16:00,4735.19,4762.64,4698.09,4699.84,577.4144351
01/12/2021 17:00,4703.68,4711.27,4677.86,4679.36,532.5307125
01/12/2021 18:00,4678.76,4695.84,4641.29,4650.04,533.395181
01/12/2021 19:00,4652,4676.34,4597.64,4664.02,2106.657546
01/12/2021 20:00,4664.02,4664.03,4559.3,4570.46,1394.753136
01/12/2021 21:00,4564.35,4598.2,4533.84,4572.97,1269.438624
